StartDate,Site,Treatment,Distance,Petri_dish_weight,Petri_dish_weight_plus_PF_sample,Biomass
2023-10-14,10,W,0m,3.217,3.7075,0.4905
2023-10-14,10,W,5m,3.0819,3.2462,0.1643
2023-10-14,11,W,0m,3.0546,4.0045,0.9499
2023-10-14,11,W,5m,3.2672,3.5496,0.2824
2023-10-14,12,W,0m,3.2307,5.2082,1.9775
2023-10-14,12,W,5m,3.0009,3.4999,0.499
2023-10-19,1,,0m,3.365,6.399,3.034
2023-10-19,1,,5m,3.2807,3.4731,0.1924
2023-10-19,2,,0m,3.2347,4.6423,1.4076
2023-10-19,2,,5m,3.2965,4.5925,1.296
2023-10-19,3,,0m,3.2023,4.3849,1.1826
2023-10-19,3,,5m,3.2245,4.6093,1.3848
2023-10-19,4,,0m,,,0
2023-10-19,4,,5m,,,0
2023-10-19,5,,0m,,,0
2023-10-19,5,,5m,3.0969,3.1056,0.00869999999999971
2023-10-19,6,,0m,3.04,5.897,2.857
2023-10-19,6,,5m,3.0514,4.1334,1.082
2023-10-19,7,,0m,3.0772,5.5892,2.512
2023-10-19,7,,5m,3.0776,4.0613,0.9837
2023-10-19,8,,0m,3.0912,5.1065,2.0153
2023-10-19,8,,5m,3.0049,3.9381,0.9332
2023-10-19,9,,0m,3.013,4.8453,1.8323
2023-10-19,9,,5m,3.0814,3.1955,0.1141
2023-10-19,10,,0m,3.1297,7.6584,4.5287
2023-10-19,10,,5m,2.94,3.3831,0.4431
2023-10-19,11,,0m,3.0841,3.3135,0.2294
2023-10-19,11,,5m,3.105,3.4438,0.3388
2023-10-19,12,,0m,3.025,3.4681,0.4431
2023-10-19,12,,5m,3.124,4.1062,0.9822
2023-10-24,1,,0m,,,0
2023-10-24,1,,5m,,,0
2023-10-24,2,,0m,3.3945,3.6427,0.2482
2023-10-24,2,,5m,3.2452,3.3054,0.0602
2023-10-24,3,,0m,3.205,3.7485,0.5435
2023-10-24,3,,5m,3.1085,3.1535,0.0450000000000004
2023-10-24,4,,0m,3.2879,3.3352,0.0472999999999999
2023-10-24,4,,5m,3.1356,3.8172,0.6816
2023-10-24,5,,0m,3.1962,5.1569,1.9607
2023-10-24,5,,5m,3.1461,2.4194,-0.7267
2023-10-24,6,,0m,3.4671,3.5118,0.0447000000000002
2023-10-24,6,,5m,3.0908,3.119,0.0282
2023-10-24,7,,0m,3.2848,3.9046,0.6198
2023-10-24,7,,5m,2.29947,3.0671,0.76763
2023-10-24,8,,0m,2.9442,3.1368,0.1926
2023-10-24,8,,5m,3.1598,3.4335,0.2737
2023-10-24,9,,0m,3.1049,3.32,0.2151
2023-10-24,9,,5m,3.0634,3.0823,0.0188999999999999
2023-10-24,10,,0m,3.1269,3.285,0.1581
2023-10-24,10,,5m,3.0842,3.4029,0.3187
2023-10-24,11,,0m,3.0041,3.057,0.0528999999999997
2023-10-24,11,,5m,3.1759,3.1875,0.0116000000000001
2023-10-24,12,,0m,3.0162,3.1024,0.0861999999999998
2023-10-24,12,,5m,2.9053,2.9247,0.0194000000000001
2023-10-29,1,,0m,,,0
2023-10-29,1,,5m,,,0
2023-10-29,2,,0m,3.0367,4.6762,1.6395
2023-10-29,2,,5m,2.9913,3.7458,0.7545
2023-10-29,3,,0m,2.9811,4.9753,1.9942
2023-10-29,3,,5m,3.0217,3.1597,0.138
2023-10-29,4,,0m,3.1922,3.5105,0.3183
2023-10-29,4,,5m,3.0421,4.4128,1.3707
2023-10-29,5,,0m,,,0
2023-10-29,5,,5m,,,0
2023-10-29,6,,0m,2.9701,4.8631,1.893
2023-10-29,6,,5m,3.0218,3.3325,0.3107
2023-10-29,7,,0m,3.1685,4.9451,1.7766
2023-10-29,7,,5m,3.0854,3.8098,0.7244
2023-10-29,8,,0m,3.0202,4.5331,1.5129
2023-10-29,8,,5m,3.1651,3.2115,0.0464000000000002
2023-10-29,9,,0m,3.0379,4.0936,1.0557
2023-10-29,9,,5m,2.9344,3.0051,0.0707
2023-10-29,10,,0m,3.0193,4.4874,1.4681
2023-10-29,10,,5m,2.922,3.1638,0.2418
2023-10-29,11,,0m,3.0481,3.6366,0.5885
2023-10-29,11,,5m,2.171,3.056,0.885
2023-10-29,12,,0m,3.0672,6.1438,3.0766
2023-10-29,12,,5m,3.0682,3.3621,0.2939
2023-11-03,1,,0m,3.0098,8.3037,5.2939
2023-11-03,1,,5m,3.0166,5.9708,2.9542
2023-11-03,2,,0m,3.0913,4.8625,1.7712
2023-11-03,2,,5m,2.9629,3.6655,0.7026
2023-11-03,3,,0m,3.056,5.9772,2.9212
2023-11-03,3,,5m,2.9489,3.2111,0.2622
2023-11-03,4,,0m,3.0504,4.4554,1.405
2023-11-03,4,,5m,2.9876,4.2218,1.2342
2023-11-03,5,,0m,2.9982,4.4009,1.4027
2023-11-03,5,,5m,3.0259,3.2375,0.2116
2023-11-03,6,,0m,2.9851,4.9875,2.0024
2023-11-03,6,,5m,3.1155,3.6172,0.5017
2023-11-03,7,,0m,3.0867,5.8563,2.7696
2023-11-03,7,,5m,3.0141,3.9875,0.9734
2023-11-03,8,,0m,2.9968,6.5038,3.507
2023-11-03,8,,5m,3.0443,3.2004,0.1561
2023-11-03,9,,0m,3.0693,4.2915,1.2222
2023-11-03,9,,5m,3.0311,3.6586,0.6275
2023-11-03,10,,0m,3.0137,3.928,0.9143
2023-11-03,10,,5m,3.0655,3.654,0.5885
2023-11-03,11,,0m,2.9296,3.5675,0.6379
2023-11-03,11,,5m,2.9232,3.91,0.9868
