Timestamp,Amber,White,On,Override,Intensity,AS00,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11
1686888946,0,1,0,0,0.017684,0,0,0,0,1,0,0,0,0,0,2,0
1686888952,0,1,0,0,0.016269,0,0,0,0,2,0,0,0,0,0,2,0
1686888958,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,2,0
1686888964,0,1,0,0,0.016269,0,0,0,0,1,0,0,0,0,0,2,0
1686888970,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,2,0
1686888976,0,1,0,0,0.014895,0,0,0,0,2,0,0,0,0,0,2,0
1686888982,0,1,0,0,0.014895,0,0,0,0,1,0,0,0,0,0,2,0
1686888988,0,1,0,0,0.017684,0,0,0,0,2,0,0,0,0,0,2,0
1686888994,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889000,0,1,0,0,0.014895,0,0,0,0,1,0,0,0,0,0,1,0
1686889006,0,1,0,0,0.016249,0,0,0,0,1,0,0,0,0,0,2,0
1686889012,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889018,0,1,0,0,0.017684,0,0,0,0,1,0,0,0,0,0,2,0
1686889024,0,1,0,0,0.014895,0,0,0,0,1,0,0,0,0,0,2,0
1686889030,0,1,0,0,0.014895,0,0,0,0,2,0,0,0,0,0,2,0
1686889036,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889042,0,1,0,0,0.016249,0,0,0,0,1,0,0,0,0,0,2,0
1686889048,0,1,0,0,0.016249,0,0,0,0,1,0,0,0,0,0,2,0
1686889054,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889060,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,1,0
1686889066,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,2,0
1686889072,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889078,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,2,0
1686889084,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,1,0
1686889090,0,1,0,0,0.017023,0,0,0,0,2,0,0,0,0,0,1,0
1686889096,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,1,0
1686889102,0,1,0,0,0.017023,0,0,0,0,1,0,0,0,0,0,2,0
1686889108,0,1,0,0,0.016249,0,0,0,0,2,0,0,0,0,0,1,0
