"Source:","/home/dchevalier/Documents/alan-setup/fab/kicad/controller_pcb/controller_pcb.kicad_sch"
"Date:","Sat 17 Feb 2024 03:52:16 PM"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Category","DK_Datasheet_Link","DK_Detail_Page","Datasheet_1","Description","Digi-Key_PN","Family","Footprint_1","Height","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Reference_1","Status","Value_1"
"","","JPERIPH1","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","","","","",""
"","","JSCL1","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","","","","","","","","","","","","","","","","","","","",""
"","","JSD1","Screw_Terminal_01x06","Connector:Screw_Terminal_01x06","","~","","","","","","","","","","","","","","","","","","","",""
"","","JSDA1","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","","~","","","","","","","","","","","","","","","","","","","",""
"","","L1","MSS1210-103MEB","MSS1210-103MEB:MSS1210-103MEB","","","","","","","","https://g.componentsearchengine.com/Datasheets/34/MSS1210-103MEB.pdf","","","","INDPM120120X1020N","10.2","","","COILCRAFT","MSS1210-103MEB","994-MSS1210-103MEB","https://www.mouser.co.uk/ProductDetail/Coilcraft/MSS1210-103MEB?qs=VJjuEbE9QBNwjoERzwkOMg%3D%3D","L","","MSS1210-103MEB"
"","","L1-2","SDR0403-4R7ML","SDR0403-4R7ML:SDR0403-4R7ML","","","SDR0403-4R7ML","https://www.arrow.com/en/products/sdr0403-4r7ml/bourns?region=nac","","","","http://www.bourns.com/docs/Product-Datasheets/sdr0403.pdf","","","","SDR0403","","","","Bourns","SDR0403-4R7ML","652-SDR0403-4R7ML","https://www.mouser.co.uk/ProductDetail/Bourns/SDR0403-4R7ML?qs=xrpI9KL%2FXvtm2g7dmggyxA%3D%3D","L","","SDR0403-4R7ML"
"","","Q1","IRLZ44N","IRLZ44N:IRLZ44N","","","","","","","","https://www.mouser.com/catalog/specsheets/international rectifier_irlz44n.pdf","","","","TO254P469X1042X1967-3P","4.69","","","Infineon","IRLZ44N","N/A","https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRLZ44N?qs=zO0nedAqnNIAphT7g5cSVQ%3D%3D","Q","","IRLZ44N"
"","","RA41","ERJ-2RKF2400X","ERJ-2RKF2400X:ERJ-2RKF2400X","","","ERJ-2RKF2400X","https://www.arrow.com/en/products/erj-2rkf2400x/panasonic?region=nac","","","","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C86.pdf","","","","ERJ2RKD1004X","0.4","","","Panasonic","ERJ-2RKF2400X","667-ERJ-2RKF2400X","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-2RKF2400X?qs=YMBIwoNQYdU72k3QMprnfQ%3D%3D","R","","ERJ-2RKF2400X"
"","","RA42","CRCW040210K0FKED","CRCW040210K0FKED:CRCW040210K0FKED","","","CRCW040210K0FKED","https://www.arrow.com/en/products/crcw040210k0fked/vishay?region=nac","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW040210K0FKED","71-CRCW0402-10K-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKED?qs=rlE3Te1NifyN3e8vvxacSw%3D%3D","R","","CRCW040210K0FKED"
"","","RCOMP1","CRCW0402301RFKED","CRCW0402301RFKED:CRCW0402301RFKED","","","","","","","","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","RESC1005X40N","0.4","","","Vishay","CRCW0402301RFKED","71-CRCW0402-301-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0402301RFKED?qs=TNtMkGKFKOyEoDLmqluwsQ%3D%3D","R","","CRCW0402301RFKED"
